item_id,stratum,regex_flag,event_id,event_state_all,url,sentence_index,repeat_of_item
L055,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0237,awaiting lab / cause unknown,https://www.kompas.com/jawa-barat/read/2025/05/02/133948088/korban-keracunan-mbg-di-tasikmalaya-tercatat-400-pelajar-dari-tk,13,
L056,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0442,awaiting lab / cause unknown,https://regional.kompas.com/read/2026/01/19/200826878/hasil-lab-ungkap-menu-mbg-penyebab-keracunan-ratusan-santri-di-grobogan,2,
L057,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0466,awaiting lab / cause unknown,https://regional.kompas.com/read/2026/04/21/211235978/buntut-keracunan-mbg-di-demak-wagub-jateng-minta-distribusi-dan-konsumsi,17,L026
L058,UNFLAGGED_WEAK,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0457,awaiting lab / cause unknown,https://www.cnnindonesia.com/nasional/20260910134746-20-1402395/plt-bupati-pati-sebut-ratusan-siswa-keracunan-mbg-masuk-kategori-klb,40,
L059,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0478,lab: contamination reported,https://www.detik.com/jogja/berita/d-8071965/sppg-buka-suara-soal-mbg-bikin-497-siswa-smp-kulon-progo-keracunan,51,L041
L060,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0012,lab: contamination reported,https://medan.kompas.com/read/2026/03/10/170249478/sppg-yang-buat-218-pelajar-di-dairi-keracunan-ditutup-bobby-menunya-jangan-ala,10,
L061,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0425,lab: contamination reported,https://www.detik.com/jateng/berita/d-8131416/ratusan-siswa-kebumen-diduga-keracunan-usai-santap-soto-perkedel-mbg,14,
L062,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0640,lab: contamination reported,https://www.detik.com/jatim/berita/d-8665207/kepala-sppg-dicopot-dapur-disetop-buntut-keracunan-mbg-massal-di-jombang,30,
L063,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0451,lab: contamination reported,https://www.detik.com/jateng/berita/d-8613430/terungkap-biang-keracunan-mbg-smkn-6-semarang-gegara-3-bakteri,2,
L064,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0673,lab: contamination reported,https://www.detik.com/bali/nusra/d-7907093/5-siswa-lombok-tengah-keracunan-menu-mbg-ada-bakteri-e-coli-di-telur,5,
L065,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0678,awaiting lab / cause unknown,https://regional.kompas.com/read/2026/09/14/154750778/keracunan-mbg-di-lombok-tengah-bpom-uji-sampel-makanan-hasil-keluar,3,
L066,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0435,lab: contamination reported,https://regional.kompas.com/read/2025/12/08/201059378/penyebab-ratusan-siswa-di-blora-keracunan-menu-mbg-bakteri-e-coli,1,
L067,FLAG_AWAITING,awaiting,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0229,awaiting lab / cause unknown,https://www.antaranews.com/berita/5391386/dinkes-cianjur-investigasi-mendalam-terkait-kasus-keracunan-siswa,1,
L068,FLAG_CLEAN,clean,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0804,lab: contamination reported,https://www.detik.com/sulsel/berita/d-8658445/menu-mbg-ayam-bumbu-kuning-terkontaminasi-bakteri-pemicu-keracunan-di-tator,7,
L069,UNFLAGGED_WEAK,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0329,awaiting lab / cause unknown,https://bandung.kompas.com/read/2025/11/11/214647678/keracunan-mbg-di-bandung-barat-bertambah-guru-ungkap-paket-makanan-datang,7,
L070,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0304,lab: contamination reported,https://health.detik.com/diet/d-8145435/mengenal-senyawa-nitrit-pemicu-keracunan-mbg-di-bandung-barat,30,L028
L071,FLAG_CLEAN,clean,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0227,lab: result reported clean,https://www.antaranews.com/berita/5136365/dinkes-cianjur-pastikan-kondisi-siswa-dan-guru-keracunan-membaik,4,
L072,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0179,"samples taken, no result stated",https://eksposkaltim.com/berita-18043-dugaan-keracunan-massal-mbg-di-kukar-puluhan-pelajar-dilarikan-ke-puskesmas-.html,17,
L073,UNFLAGGED_WEAK,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0241,no cause information,https://www.detik.com/jabar/berita/d-8119763/kasus-keracunan-mbg-di-tasikmalaya-bikin-geram,22,
L074,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0000,awaiting lab / cause unknown,https://regional.kompas.com/read/2025/10/04/152251678/usut-kasus-keracunan-siswa-sd-dinkes-aceh-utara-ambil-sampel-menu-mbg,7,
L075,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0440,awaiting lab / cause unknown,https://news.detik.com/berita/d-8231320/siswa-smp-keracunan-mbg-di-kendal-diduga-gara-gara-pakcoi,10,
L076,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0664,lab: contamination reported,https://afu.id/nusantara/33-siswa-sdn-kauman-1-malang-keracunan-distribusi-mbg-dihentikan-usai-temuan-e-coli,0,
L077,UNFLAGGED_WEAK,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0770,"samples taken, no result stated",https://www.kompas.id/artikel/keracunan-mbg-di-sulawesi-tengah-27-siswa-di-parigi-moutong-dirawat-di-rs,7,
L078,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0022,lab: contamination reported,https://medan.kompas.com/read/2026/09/09/113452278/keracunan-mbg-karo-hasil-lab-temukan-e-coli-staphylococcus-dan-bacillus-cereus,7,
L079,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0509,lab: contamination reported,https://regional.kompas.com/read/2025/10/29/163511678/695-siswa-di-gunungkidul-diduga-keracunan-mbg-bupati-air-terindikasi,11,
L080,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0189,awaiting lab / cause unknown,https://www.detik.com/kalimantan/berita/d-8171442/bantah-siswanya-keracunan-mbg-kepala-smpn-33-banjarmasin-diare-bersamaan,12,
L081,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0129,no cause information,https://medialintastimurnews.com/2026/01/29/terjadi-lagi-di-lamtim-ratusan-anak-diduga-keracunan-usai-santap-mbg/,10,
L082,FLAG_AWAITING,awaiting,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0221,awaiting lab / cause unknown,https://bandung.kompas.com/read/2025/04/22/073958478/belasan-siswa-keracunan-diduga-dari-mbg-bupati-cianjur-kaget-dan-sedih,2,
