incident_id,source_page,table_row,event_id,date_iso,date_end_iso,date_precision,date_raw,province,province_raw,kabkota,kabkota_type,kabkota_name,kabkota_kode,kabkota_kode_match,provinsi_kode,kabkota_lat,kabkota_lng,kabkota_population,kabkota_area_km2,venue,venue_level,venue_raw,symptomatic_raw,symptomatic_kind,symptomatic,symptomatic_min,symptomatic_max,symptomatic_by_subject,symptomatic_counted,deaths_raw,deaths,deaths_counted,ref_ids,source_urls,flags
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0414,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,414,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0414,2026-08-05,2026-08-05,day,5 Agustus 2026,Jawa Tengah,Jawa Tengah,Kabupaten Rembang,kabupaten,Rembang,33.17,exact,33,-6.703466029933058,111.34262144071498,665501,1038.32,SMPN 5 Rembang,junior_secondary,SMPN 5 Rembang,299 Orang,exact,299,299,299,"{""person"": 299}",299,,,,"[""auto:0503ac0a07""]","[""https://www.rmoljawatengah.id/korban-dugaan-keracunan-mbg-rembang-bertambah-jadi-299-orang""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0415,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,415,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0415,2026-09-03,2026-09-03,day,3 September 2026,Jawa Tengah,Jawa Tengah,Kabupaten Rembang,kabupaten,Rembang,33.17,exact,33,-6.703466029933058,111.34262144071498,665501,1038.32,SMAN 1 Lasem,senior_secondary,SMAN 1 Lasem,777 Orang,exact,777,777,777,"{""person"": 777}",777,,,,"[""auto:bf30e4679b""]","[""https://mediaindonesia.com/nusantara/929333/777-siswa-dan-guru-sma-negeri-1-lasem-rembang-diduga-keracunan-makan-bergizi-grati""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0416,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,416,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0416,2026-09-08,2026-09-08,day,8 September 2026,Jawa Tengah,Jawa Tengah,Kabupaten Rembang,kabupaten,Rembang,33.17,exact,33,-6.703466029933058,111.34262144071498,665501,1038.32,MAN 2 Rembang,senior_secondary,MAN 2 Rembang,271 Siswa dan 7 Guru,exact,278,278,278,"{""student"": 271, ""teacher"": 7}",278,,,,"[""auto:a392e30bf2""]","[""https://banyumas.tribunnews.com/jateng/95884/santap-ayam-kare-mbg-271-siswa-dan-guru-man-2-rembang-mengalami-keracunan-massal""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0417,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,417,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0417,2025-09-22,2025-09-22,day,22 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Banyumas,kabupaten,Banyumas,33.02,exact,33,-7.4227990604767795,109.23008333914095,1868446,1391.153,TK,early_childhood,TK,408 Siswa,exact,408,408,408,"{""student"": 408}",408,,,,"[""auto:051811f9e3""]","[""https://regional.kompas.com/read/2025/09/29/125310878/dugaan-keracunan-mbg-di-banyumas-korban-bertambah-jadi-408-siswa""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0418,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,418,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0417,2025-09-22,2025-09-22,day,22 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Banyumas,kabupaten,Banyumas,33.02,exact,33,-7.4227990604767795,109.23008333914095,1868446,1391.153,SDN Kediri,primary,SDN Kediri,408 Siswa,exact,408,408,408,"{""student"": 408}",,,,,"[""auto:051811f9e3""]","[""https://regional.kompas.com/read/2025/09/29/125310878/dugaan-keracunan-mbg-di-banyumas-korban-bertambah-jadi-408-siswa""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0419,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,419,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0417,2025-09-22,2025-09-22,day,22 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Banyumas,kabupaten,Banyumas,33.02,exact,33,-7.4227990604767795,109.23008333914095,1868446,1391.153,SDN Pangebatan,primary,SDN Pangebatan,408 Siswa,exact,408,408,408,"{""student"": 408}",,,,,"[""auto:051811f9e3""]","[""https://regional.kompas.com/read/2025/09/29/125310878/dugaan-keracunan-mbg-di-banyumas-korban-bertambah-jadi-408-siswa""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0420,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,420,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0420,2025-09-29,2025-09-29,day,29 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Banyumas,kabupaten,Banyumas,33.02,exact,33,-7.4227990604767795,109.23008333914095,1868446,1391.153,SD 1 Sudagaran,primary,SD 1 Sudagaran,94 Siswa,exact,94,94,94,"{""student"": 94}",94,,,,"[""auto:eeaf80e8fc""]","[""https://www.detik.com/jateng/berita/d-8138233/siswa-sd-diduga-keracunan-mbg-spageti-di-banyumas-jadi-94-begini-kondisinya""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0421,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,421,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0420,2025-09-29,2025-09-29,day,29 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Banyumas,kabupaten,Banyumas,33.02,exact,33,-7.4227990604767795,109.23008333914095,1868446,1391.153,SD 2 Sudagaran,primary,SD 2 Sudagaran,94 Siswa,exact,94,94,94,"{""student"": 94}",,,,,"[""auto:eeaf80e8fc""]","[""https://www.detik.com/jateng/berita/d-8138233/siswa-sd-diduga-keracunan-mbg-spageti-di-banyumas-jadi-94-begini-kondisinya""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0422,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,422,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0420,2025-09-29,2025-09-29,day,29 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Banyumas,kabupaten,Banyumas,33.02,exact,33,-7.4227990604767795,109.23008333914095,1868446,1391.153,SD 3 Sudagaran,primary,SD 3 Sudagaran,94 Siswa,exact,94,94,94,"{""student"": 94}",,,,,"[""auto:eeaf80e8fc""]","[""https://www.detik.com/jateng/berita/d-8138233/siswa-sd-diduga-keracunan-mbg-spageti-di-banyumas-jadi-94-begini-kondisinya""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0423,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,423,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0420,2025-09-29,2025-09-29,day,29 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Banyumas,kabupaten,Banyumas,33.02,exact,33,-7.4227990604767795,109.23008333914095,1868446,1391.153,SD Muhammadiyah,primary,SD Muhammadiyah,94 Siswa,exact,94,94,94,"{""student"": 94}",,,,,"[""auto:eeaf80e8fc""]","[""https://www.detik.com/jateng/berita/d-8138233/siswa-sd-diduga-keracunan-mbg-spageti-di-banyumas-jadi-94-begini-kondisinya""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0424,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,424,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0424,2026-08-10,2026-08-10,day,10 Agustus 2026,Jawa Tengah,Jawa Tengah,Kabupaten Banyumas,kabupaten,Banyumas,33.02,exact,33,-7.4227990604767795,109.23008333914095,1868446,1391.153,MAN 2 Banyumas,senior_secondary,MAN 2 Banyumas,165 Siswa,exact,165,165,165,"{""student"": 165}",165,,,,"[""auto:5c030060fd""]","[""https://www.detik.com/jateng/berita/d-8615906/165-siswa-man-2-banyumas-diduga-keracunan-mbg-104-masih-bergejala""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0425,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,425,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0425,2025-09-25,2025-09-25,day,25 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Kebumen,kabupaten,Kebumen,33.05,exact,33,-7.668443736529897,109.65371583117799,1446833,1333.902,SDN Tegalretno,primary,SDN Tegalretno,176 Siswa,exact,176,176,176,"{""student"": 176}",176,,,,"[""auto:c6acb01313""]","[""https://www.detik.com/jateng/berita/d-8133239/26-siswa-di-kebumen-diduga-keracunan-mbg-dipulangkan-dari-rs""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0426,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,426,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0425,2025-09-25,2025-09-25,day,25 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Kebumen,kabupaten,Kebumen,33.05,exact,33,-7.668443736529897,109.65371583117799,1446833,1333.902,Madrasah Wathoniyah Islamiyah,,Madrasah Wathoniyah Islamiyah,176 Siswa,exact,176,176,176,"{""student"": 176}",,,,,"[""auto:c6acb01313""]","[""https://www.detik.com/jateng/berita/d-8133239/26-siswa-di-kebumen-diduga-keracunan-mbg-dipulangkan-dari-rs""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0427,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,427,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0427,2025-09-30,2025-09-30,day,30 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Semarang,kabupaten,Semarang,33.22,exact,33,-7.128957393445669,110.40409099653884,1088729,1019.27,SDN 01 Ungaran,primary,SDN 01 Ungaran,20 Siswa,exact,20,20,20,"{""student"": 20}",20,,,,"[""auto:73029cb316""]","[""https://regional.kompas.com/read/2025/09/30/142743778/20-siswa-sd-di-ungaran-diduga-keracunan-mbg""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0428,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,428,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0428,2025-09-30,2025-09-30,day,30 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Temanggung,kabupaten,Temanggung,33.23,exact,33,-7.315316457103409,110.18189242537592,822880,864.834,SMAN 2 Temanggung,senior_secondary,SMAN 2 Temanggung,414 Siswa,exact,414,414,414,"{""student"": 414}",414,,,,"[""auto:264f81628d""]","[""https://regional.kompas.com/read/2025/10/07/162259678/414-siswa-keracunan-mbg-operasional-sppg-giyanti-temanggung-dihentikan""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0429,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,429,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0428,2025-09-30,2025-09-30,day,30 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Temanggung,kabupaten,Temanggung,33.23,exact,33,-7.315316457103409,110.18189242537592,822880,864.834,SMAN 3 Temanggung,senior_secondary,SMAN 3 Temanggung,414 Siswa,exact,414,414,414,"{""student"": 414}",,,,,"[""auto:264f81628d""]","[""https://regional.kompas.com/read/2025/10/07/162259678/414-siswa-keracunan-mbg-operasional-sppg-giyanti-temanggung-dihentikan""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0430,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,430,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0430,2026-05-18,2026-05-18,day,18 Mei 2026,Jawa Tengah,Jawa Tengah,Kabupaten Temanggung,kabupaten,Temanggung,33.23,exact,33,-7.315316457103409,110.18189242537592,822880,864.834,SMP Negeri 4 Temanggung dan 7 Sekolah Lainnya,junior_secondary,SMP Negeri 4 Temanggung dan 7 Sekolah Lainnya,323 orang,exact,323,323,323,"{""person"": 323}",323,,,,"[""auto:e072ada870""]","[""https://jateng.murianews.com/zulkifli-fahmi/467568/ratusan-siswa-guru-di-temanggung-keracunan-mbg-sppg-minta-maaf""]",[]
